gene,gene_full,vulnerability_score
AKT2,AKT2 (208),0.0086351745
POMP,POMP (51371),0.008633918
DAP,DAP (1611),0.008632858
PDCL,PDCL (5082),0.008630248
DPCD,DPCD (25911),0.008629137
RAB15,RAB15 (376267),0.008624582
METTL7B,METTL7B (196410),0.008623035
CD163L1,CD163L1 (283316),0.008616815
RPN2,RPN2 (6185),0.008614514
EDARADD,EDARADD (128178),0.008613778
S100A1,S100A1 (6271),0.008612219
CYS1,CYS1 (192668),0.008610257
DCC,DCC (1630),0.00860763
CTPS1,CTPS1 (1503),0.008607517
GIT1,GIT1 (28964),0.008596617
METTL21A,METTL21A (151194),0.008591501
SLC30A3,SLC30A3 (7781),0.008587488
SGSM1,SGSM1 (129049),0.008583889
YEATS2,YEATS2 (55689),0.00858309
PEAK3,PEAK3 (374872),0.008575623
PHC2,PHC2 (1912),0.008569492
FZD5,FZD5 (7855),0.008568478
ARMCX5,ARMCX5 (64860),0.008559233
MAP3K9,MAP3K9 (4293),0.0085583795
LUZP4,LUZP4 (51213),0.00855599
ZNF625,ZNF625 (90589),0.008555342
TSSK3,TSSK3 (81629),0.008551941
TEKT5,TEKT5 (146279),0.00854028
SPPL2C,SPPL2C (162540),0.0085342415
DNASE2,DNASE2 (1777),0.008528863
DUSP28,DUSP28 (285193),0.008524378
RBM18,RBM18 (92400),0.008521685
FIBCD1,FIBCD1 (84929),0.008521667
TRIM41,TRIM41 (90933),0.008508495
LARP1,LARP1 (23367),0.008504161
AKIRIN1,AKIRIN1 (79647),0.008501359
ZC3H13,ZC3H13 (23091),0.00848999
CDKN2AIP,CDKN2AIP (55602),0.0084896935
PODN,PODN (127435),0.008489123
PTAFR,PTAFR (5724),0.00848897
UBP1,UBP1 (7342),0.008486452
SPINT2,SPINT2 (10653),0.008484509
C2orf42,C2orf42 (54980),0.008481062
ITGA7,ITGA7 (3679),0.008479499
EXTL2,EXTL2 (2135),0.00847854
RCOR1,RCOR1 (23186),0.008474913
KRT25,KRT25 (147183),0.008474064
POGZ,POGZ (23126),0.0084721
KLF5,KLF5 (688),0.0084699765
DEFB121,DEFB121 (245934),0.008467829
ZCCHC17,ZCCHC17 (51538),0.008462081
YAP1,YAP1 (10413),0.008460647
SMURF1,SMURF1 (57154),0.008450032
VMAC,VMAC (400673),0.008448031
SDC1,SDC1 (6382),0.008447003
RAB40C,RAB40C (57799),0.008443548
ARSH,ARSH (347527),0.008440593
CST3,CST3 (1471),0.008439249
LAMC1,LAMC1 (3915),0.00843837
E4F1,E4F1 (1877),0.008435529
CHRDL2,CHRDL2 (25884),0.008435044
KCTD17,KCTD17 (79734),0.008432201
UGP2,UGP2 (7360),0.008430518
RAB32,RAB32 (10981),0.008430413
RELT,RELT (84957),0.008424657
C12orf43,C12orf43 (64897),0.008414842
SLC16A3,SLC16A3 (9123),0.008410867
FAAH,FAAH (2166),0.008408156
MFAP4,MFAP4 (4239),0.008401839
KRTAP5-1,KRTAP5-1 (387264),0.0083967475
DYNC2I2,DYNC2I2 (89891),0.00839187
REXO2,REXO2 (25996),0.008389352
TIGD3,TIGD3 (220359),0.008389012
ICA1L,ICA1L (130026),0.008382931
PRSS16,PRSS16 (10279),0.00837921
MRPL1,MRPL1 (65008),0.0083753625
LRWD1,LRWD1 (222229),0.008369195
DSCC1,DSCC1 (79075),0.008365627
SAFB2,SAFB2 (9667),0.0083654
CKS2,CKS2 (1164),0.0083650295
POU2AF2,POU2AF2 (341032),0.008365008
CCDC148,CCDC148 (130940),0.008358226
GATAD2A,GATAD2A (54815),0.008349325
ST8SIA3,ST8SIA3 (51046),0.008346208
SMG7,SMG7 (9887),0.0083386395
ASH2L,ASH2L (9070),0.008334252
JAK3,JAK3 (3718),0.008332682
KHDC3L,KHDC3L (154288),0.008330704
AHSA1,AHSA1 (10598),0.008328248
CTRL,CTRL (1506),0.008321568
RAB11FIP4,RAB11FIP4 (84440),0.008319954
CHTOP,CHTOP (26097),0.008319573
CTSD,CTSD (1509),0.008314353
SHISA7,SHISA7 (729956),0.008312468
KCNG1,KCNG1 (3755),0.008311916
SLC25A1,SLC25A1 (6576),0.008311424
ECPAS,ECPAS (23392),0.00830915
CCNL2,CCNL2 (81669),0.008305333
DCTN6,DCTN6 (10671),0.008304795
GALT,GALT (2592),0.008304506
ARSJ,ARSJ (79642),0.008300429
SMDT1,SMDT1 (91689),0.008294076
H1-4,H1-4 (3008),0.008291834
METTL7A,METTL7A (25840),0.008291449
CHCHD5,CHCHD5 (84269),0.008285549
ZNF584,ZNF584 (201514),0.008282255
FAM91A1,FAM91A1 (157769),0.008280672
ALAS1,ALAS1 (211),0.008279373
MAP2K3,MAP2K3 (5606),0.0082734795
NPC1L1,NPC1L1 (29881),0.008273422
SH3BGRL,SH3BGRL (6451),0.008273004
NEDD4L,NEDD4L (23327),0.008271705
ARHGAP36,ARHGAP36 (158763),0.00827145
TCEAL1,TCEAL1 (9338),0.008268272
PHKA2,PHKA2 (5256),0.008264996
HMCES,HMCES (56941),0.00826049
CASP9,CASP9 (842),0.008259862
RNF217,RNF217 (154214),0.008257379
CPNE1,CPNE1 (8904),0.008256258
NME6,NME6 (10201),0.008256188
DDAH1,DDAH1 (23576),0.008250998
TMEM45B,TMEM45B (120224),0.008249294
FBXO4,FBXO4 (26272),0.008248257
DMWD,DMWD (1762),0.008246737
KRTAP23-1,KRTAP23-1 (337963),0.008245521
CARD8,CARD8 (22900),0.008242694
TLK1,TLK1 (9874),0.008242525
SRSF4,SRSF4 (6429),0.008242004
RBMS2,RBMS2 (5939),0.008241687
SLC5A8,SLC5A8 (160728),0.008239652
CDPF1,CDPF1 (150383),0.008232266
CLEC7A,CLEC7A (64581),0.0082280915
IQCG,IQCG (84223),0.008224971
PIP4K2B,PIP4K2B (8396),0.008224931
PELP1,PELP1 (27043),0.008222281
COMT,COMT (1312),0.008221673
CDC25B,CDC25B (994),0.008219118
NOPCHAP1,NOPCHAP1 (121053),0.008217571
SPINK7,SPINK7 (84651),0.008213678
BRI3,BRI3 (25798),0.008206527
RTL8A,RTL8A (26071),0.008206499
CYP3A5,CYP3A5 (1577),0.008196464
HAX1,HAX1 (10456),0.008192765
BEST2,BEST2 (54831),0.008188995
C1orf50,C1orf50 (79078),0.0081858225
KIAA1210,KIAA1210 (57481),0.008184182
NMNAT2,NMNAT2 (23057),0.008183789
LGALS1,LGALS1 (3956),0.008170454
HLA-DQB2,HLA-DQB2 (3120),0.008162865
PDZD9,PDZD9 (255762),0.008161069
TBX4,TBX4 (9496),0.00815997
SP100,SP100 (6672),0.008158846
PGLYRP2,PGLYRP2 (114770),0.008158332
EIF4EBP3,EIF4EBP3 (8637),0.008156771
ZNF557,ZNF557 (79230),0.0081560565
ARPP19,ARPP19 (10776),0.008152346
TEF,TEF (7008),0.008149271
SPSB4,SPSB4 (92369),0.008139749
ETV3,ETV3 (2117),0.008135933
GPR179,GPR179 (440435),0.008128607
FGFRL1,FGFRL1 (53834),0.008128494
PROSER2,PROSER2 (254427),0.008127623
LPAR5,LPAR5 (57121),0.008125483
PLEKHG4B,PLEKHG4B (153478),0.008118887
ERCC6,ERCC6 (2074),0.00811444
OTOF,OTOF (9381),0.0081119165
KRT76,KRT76 (51350),0.008099064
OGA,OGA (10724),0.00809854
PLEKHM2,PLEKHM2 (23207),0.008095935
LRRC8B,LRRC8B (23507),0.008094893
RAB4B,RAB4B (53916),0.008092508
SLC35A3,SLC35A3 (23443),0.008091778
APH1A,APH1A (51107),0.008085597
ZBTB42,ZBTB42 (100128927),0.008082885
MYO9B,MYO9B (4650),0.008077796
RRAD,RRAD (6236),0.008069146
SULT1E1,SULT1E1 (6783),0.0080684805
ALKBH7,ALKBH7 (84266),0.008065574
INPP5A,INPP5A (3632),0.008065377
PIGU,PIGU (128869),0.008063366
RGL4,RGL4 (266747),0.0080563165
SERAC1,SERAC1 (84947),0.008056287
CD163,CD163 (9332),0.00805343
C11orf58,C11orf58 (10944),0.008052168
PGAP4,PGAP4 (84302),0.008050179
DPP9,DPP9 (91039),0.008049498
TICAM1,TICAM1 (148022),0.008046982
PCM1,PCM1 (5108),0.008044621
BCL2L13,BCL2L13 (23786),0.008043979
SLC52A1,SLC52A1 (55065),0.008041931
CFAP77,CFAP77 (389799),0.0080344705
CLMN,CLMN (79789),0.008033972
TMEM38A,TMEM38A (79041),0.008030455
BOLL,BOLL (66037),0.008028174
NXF3,NXF3 (56000),0.008025755
BAMBI,BAMBI (25805),0.008020931
LIME1,LIME1 (54923),0.008016762
CEMIP2,CEMIP2 (23670),0.008012222
PPP2CA,PPP2CA (5515),0.00800918
SLAMF9,SLAMF9 (89886),0.008007943
NAGK,NAGK (55577),0.00800589
NETO1,NETO1 (81832),0.008002612
PPP1R18,PPP1R18 (170954),0.008002082
LIMCH1,LIMCH1 (22998),0.008001165
ACTBL2,ACTBL2 (345651),0.007999889
FBXL5,FBXL5 (26234),0.007996385
SPRR2G,SPRR2G (6706),0.007996231
RDX,RDX (5962),0.007992792
DCAKD,DCAKD (79877),0.007991318
PEX3,PEX3 (8504),0.007991091
ST6GAL2,ST6GAL2 (84620),0.007988754
TRPC4,TRPC4 (7223),0.007987809
TEFM,TEFM (79736),0.007980882
HLA-E,HLA-E (3133),0.0079802675
ABCA6,ABCA6 (23460),0.007975247
VEZF1,VEZF1 (7716),0.007972077
EME1,EME1 (146956),0.00796734
ELF3,ELF3 (1999),0.007956373
APOC1,APOC1 (341),0.00795343
AP1G2,AP1G2 (8906),0.007952366
SLC27A4,SLC27A4 (10999),0.007951875
TAF1D,TAF1D (79101),0.007944098
ZMIZ1,ZMIZ1 (57178),0.007943197
UEVLD,UEVLD (55293),0.0079307705
NOP10,NOP10 (55505),0.007928015
ATP6V0E1,ATP6V0E1 (8992),0.007919362
GART,GART (2618),0.007910679
SLC6A3,SLC6A3 (6531),0.007906252
BPIFA1,BPIFA1 (51297),0.007902775
TTLL11,TTLL11 (158135),0.007894818
CRYGS,CRYGS (1427),0.007892921
GSTA2,GSTA2 (2939),0.007885968
TLCD3B,TLCD3B (83723),0.007884269
HCFC1R1,HCFC1R1 (54985),0.007875355
NAALADL1,NAALADL1 (10004),0.00787506
HOXA11,HOXA11 (3207),0.007874907
MRPL43,MRPL43 (84545),0.0078642
DMKN,DMKN (93099),0.007860483
CYP4Z1,CYP4Z1 (199974),0.007854879
TAS2R43,TAS2R43 (259289),0.007853315
COQ4,COQ4 (51117),0.00785139
CCDC33,CCDC33 (80125),0.007848238
RXFP1,RXFP1 (59350),0.007847096
HCN3,HCN3 (57657),0.007842622
SPECC1L,SPECC1L (23384),0.007841675
MRPL17,MRPL17 (63875),0.007837369
LYZ,LYZ (4069),0.0078364415
ACP3,ACP3 (55),0.007830068
UNC5A,UNC5A (90249),0.007823949
RPS6KC1,RPS6KC1 (26750),0.007818045
PLPP5,PLPP5 (84513),0.007816702
FAM169A,FAM169A (26049),0.007813279
WDR86,WDR86 (349136),0.007811957
ZIK1,ZIK1 (284307),0.0078118653
NPAS4,NPAS4 (266743),0.0078063775
GPAT4,GPAT4 (137964),0.007801964
GOT2,GOT2 (2806),0.0078017316
MYOM2,MYOM2 (9172),0.0078009856
KCTD16,KCTD16 (57528),0.0078004007
GSDMB,GSDMB (55876),0.0077983406
ELP2,ELP2 (55250),0.007798187
PGM5,PGM5 (5239),0.0077971374
FREY1,FREY1 (143678),0.0077937683
NAIF1,NAIF1 (203245),0.0077937343
MYH15,MYH15 (22989),0.007791817
TUFT1,TUFT1 (7286),0.00779077
AAGAB,AAGAB (79719),0.007779812
GBP4,GBP4 (115361),0.007778477
MED16,MED16 (10025),0.007778367
IFI44,IFI44 (10561),0.0077735367
CD9,CD9 (928),0.007772948
IDE,IDE (3416),0.0077722697
ABHD14B,ABHD14B (84836),0.0077690296
CYP4F11,CYP4F11 (57834),0.0077680876
PATZ1,PATZ1 (23598),0.007768038
SPACDR,SPACDR (402573),0.0077667623
ZNF714,ZNF714 (148206),0.0077664894
MACROH2A1,MACROH2A1 (9555),0.00776398
GATA5,GATA5 (140628),0.0077634826
OSCP1,OSCP1 (127700),0.0077622873
CLEC4G,CLEC4G (339390),0.0077615464
PBDC1,PBDC1 (51260),0.0077503845
RASGRF1,RASGRF1 (5923),0.0077379383
MCOLN3,MCOLN3 (55283),0.0077347057
PLD6,PLD6 (201164),0.0077309688
SKA3,SKA3 (221150),0.0077307723
GK,GK (2710),0.0077250805
AMPH,AMPH (273),0.007723914
TSEN54,TSEN54 (283989),0.007723504
TGFBR2,TGFBR2 (7048),0.0077228006
LIMA1,LIMA1 (51474),0.0077161905
ASS1,ASS1 (445),0.0077125602
EGLN1,EGLN1 (54583),0.0077118035
PRICKLE4,PRICKLE4 (29964),0.0077086557
SEZ6,SEZ6 (124925),0.007707934
SLC35B2,SLC35B2 (347734),0.007705623
HMOX1,HMOX1 (3162),0.007702279
RNF181,RNF181 (51255),0.0076988954
ZP3,ZP3 (7784),0.0076963305
PCDHGA6,PCDHGA6 (56109),0.0076891887
ZFYVE19,ZFYVE19 (84936),0.007684739
YTHDF2,YTHDF2 (51441),0.0076779905
SPINK14,SPINK14 (408187),0.0076767704
LRP3,LRP3 (4037),0.0076758876
ZNF235,ZNF235 (9310),0.007672548
ERBB2,ERBB2 (2064),0.0076675606
ATXN2,ATXN2 (6311),0.007657729
GLRX2,GLRX2 (51022),0.0076525556
UQCRQ,UQCRQ (27089),0.0076446445
GLB1L2,GLB1L2 (89944),0.007643537
CYBC1,CYBC1 (79415),0.0076434286
FGF20,FGF20 (26281),0.007639009
OOEP,OOEP (441161),0.0076372162
XIRP2,XIRP2 (129446),0.0076294173
KCNC4,KCNC4 (3749),0.0076286932
DOT1L,DOT1L (84444),0.007627575
LATS1,LATS1 (9113),0.0076265647
NGF,NGF (4803),0.0076228743
SNX22,SNX22 (79856),0.00761906
FIBIN,FIBIN (387758),0.0076179337
SELP,SELP (6403),0.0076160287
BLOC1S2,BLOC1S2 (282991),0.00761431
ADSS2,ADSS2 (159),0.007610462
MTA1,MTA1 (9112),0.0076040556
ACVR1,ACVR1 (90),0.0076024816
LAMA3,LAMA3 (3909),0.0076003866
YWHAG,YWHAG (7532),0.0075971084
PAX8,PAX8 (7849),0.0075893705
PRR12,PRR12 (57479),0.0075891917
HELT,HELT (391723),0.0075853653
PIK3CB,PIK3CB (5291),0.007581313
TBX1,TBX1 (6899),0.007580222
RGS16,RGS16 (6004),0.007579294
YTHDC1,YTHDC1 (91746),0.007568085
ABHD16B,ABHD16B (140701),0.00756068
DEPDC1,DEPDC1 (55635),0.0075552044
TATDN3,TATDN3 (128387),0.007545743
ZNF37A,ZNF37A (7587),0.0075447834
SYT5,SYT5 (6861),0.007541293
CDRT15,CDRT15 (146822),0.0075401845
KISS1R,KISS1R (84634),0.0075394227
BEAN1,BEAN1 (146227),0.0075371685
ATXN10,ATXN10 (25814),0.0075367223
PRAMEF12,PRAMEF12 (390999),0.007533618
CABP2,CABP2 (51475),0.0075285183
CRYZL1,CRYZL1 (9946),0.007522842
ATRAID,ATRAID (51374),0.0075193597
GIMAP4,GIMAP4 (55303),0.007519333
RBIS,RBIS (401466),0.0075160237
FCHSD2,FCHSD2 (9873),0.007514901
PGBD4,PGBD4 (161779),0.0075105377
FLACC1,FLACC1 (130540),0.007507482
MAP3K8,MAP3K8 (1326),0.007498958
CERS2,CERS2 (29956),0.007498621
TTLL10,TTLL10 (254173),0.0074918796
SLC39A13,SLC39A13 (91252),0.007485777
WDR89,WDR89 (112840),0.007484533
BCL2L10,BCL2L10 (10017),0.0074823415
BRINP3,BRINP3 (339479),0.007479966
GNAQ,GNAQ (2776),0.0074693277
ARHGAP4,ARHGAP4 (393),0.0074692722
TGFBRAP1,TGFBRAP1 (9392),0.0074657435
LCE4A,LCE4A (199834),0.0074599567
BBS5,BBS5 (129880),0.007456573
IL1R2,IL1R2 (7850),0.007449852
BECN1,BECN1 (8678),0.0074481876
DTD1,DTD1 (92675),0.007446276
PAFAH2,PAFAH2 (5051),0.007442378
PRSS36,PRSS36 (146547),0.0074377395
KRTAP19-3,KRTAP19-3 (337970),0.007436623
TIFA,TIFA (92610),0.0074348766
CSRNP1,CSRNP1 (64651),0.0074344235
OPN5,OPN5 (221391),0.007433371
ADIPOQ,ADIPOQ (9370),0.0074269082
PRB4,PRB4 (5545),0.0074204253
CACNA1B,CACNA1B (774),0.007417816
SEBOX,SEBOX (645832),0.0074106576
B4GALNT2,B4GALNT2 (124872),0.007409285
NABP2,NABP2 (79035),0.007408264
PARL,PARL (55486),0.0074079446
MFAP3,MFAP3 (4238),0.007405609
SUGT1,SUGT1 (10910),0.0074009253
RPRM,RPRM (56475),0.007396727
SPATA19,SPATA19 (219938),0.0073959236
MSANTD2,MSANTD2 (79684),0.0073940167
PRDX1,PRDX1 (5052),0.0073910435
MFSD5,MFSD5 (84975),0.0073909247
EYA2,EYA2 (2139),0.0073896646
REST,REST (5978),0.0073893657
ATP1A2,ATP1A2 (477),0.0073887683
VWA5A,VWA5A (4013),0.007386658
STAU2,STAU2 (27067),0.007376769
ACY1,ACY1 (95),0.0073720333
AFF3,AFF3 (3899),0.0073708976
MPZL2,MPZL2 (10205),0.007366881
CARD16,CARD16 (114769),0.007362063
SPRR3,SPRR3 (6707),0.007360256
FYB1,FYB1 (2533),0.007358052
SPSB1,SPSB1 (80176),0.0073566693
TARM1,TARM1 (441864),0.0073562395
RCHY1,RCHY1 (25898),0.0073541515
PSMG1,PSMG1 (8624),0.0073530027
CPXCR1,CPXCR1 (53336),0.0073513356
SYNGR2,SYNGR2 (9144),0.0073497975
VPS41,VPS41 (27072),0.007346754
TIGD4,TIGD4 (201798),0.007339895
UNC119B,UNC119B (84747),0.0073389118
AGTR1,AGTR1 (185),0.0073371036
LEMD2,LEMD2 (221496),0.0073324605
TTLL3,TTLL3 (26140),0.007322165
KRT35,KRT35 (3886),0.0073200376
SPTBN2,SPTBN2 (6712),0.0073160487
SLC9A1,SLC9A1 (6548),0.007314311
RTN3,RTN3 (10313),0.0073073665
C10orf71,C10orf71 (118461),0.0073070577
C18orf21,C18orf21 (83608),0.0073038125
ADPRS,ADPRS (54936),0.0073028854
PIP4K2C,PIP4K2C (79837),0.007302802
NISCH,NISCH (11188),0.0072972933
BANK1,BANK1 (55024),0.0072942125
HCLS1,HCLS1 (3059),0.007294134
SLC41A1,SLC41A1 (254428),0.00728108
TPST2,TPST2 (8459),0.007280171
ZNF408,ZNF408 (79797),0.007279909
RBM11,RBM11 (54033),0.0072697736
SSX7,SSX7 (280658),0.007269511
RNF19A,RNF19A (25897),0.007264477
SUCLG2,SUCLG2 (8801),0.007262939
FSCN3,FSCN3 (29999),0.0072615626
BICRAL,BICRAL (23506),0.0072583924
PEX14,PEX14 (5195),0.0072573046
TMEM63A,TMEM63A (9725),0.007257174
FBXL2,FBXL2 (25827),0.007256856
MRPL49,MRPL49 (740),0.007255363
CSF3,CSF3 (1440),0.0072545544
TXN2,TXN2 (25828),0.0072518173
TDRD10,TDRD10 (126668),0.0072504263
LRRC57,LRRC57 (255252),0.007249144
TUT4,TUT4 (23318),0.007242305
RIPOR1,RIPOR1 (79567),0.0072419695
KCNJ3,KCNJ3 (3760),0.0072410447
GSTP1,GSTP1 (2950),0.007240545
ZDHHC8,ZDHHC8 (29801),0.0072386716
ZNHIT1,ZNHIT1 (10467),0.0072360905
ADGRL1,ADGRL1 (22859),0.0072337417
ACACA,ACACA (31),0.0072320728
C2,C2 (717),0.0072313496
CRISP3,CRISP3 (10321),0.0072310735
ESRRG,ESRRG (2104),0.0072197197
TMCO2,TMCO2 (127391),0.007217589
TFRC,TFRC (7037),0.0072146636
C20orf144,C20orf144 (128864),0.0072146575
PIAS3,PIAS3 (10401),0.007214396
SPTLC3,SPTLC3 (55304),0.007214356
PAK4,PAK4 (10298),0.0072074
GJA5,GJA5 (2702),0.0072053354
BCL9,BCL9 (607),0.007200859
COL14A1,COL14A1 (7373),0.0071992157
LRRC73,LRRC73 (221424),0.0071989386
DGKH,DGKH (160851),0.0071956445
MAPK1,MAPK1 (5594),0.0071944655
TFR2,TFR2 (7036),0.0071937614
ADNP,ADNP (23394),0.0071923407
CRTAC1,CRTAC1 (55118),0.0071828812
IMMT,IMMT (10989),0.007180932
CCL1,CCL1 (6346),0.0071674422
RHOV,RHOV (171177),0.007166436
PFKP,PFKP (5214),0.0071643516
TULP1,TULP1 (7287),0.0071530347
ZSCAN5A,ZSCAN5A (79149),0.0071465606
SPANXN3,SPANXN3 (139067),0.0071365964
GPR137B,GPR137B (7107),0.007129557
USF1,USF1 (7391),0.0071283556
AMH,AMH (268),0.007127942
SPRY1,SPRY1 (10252),0.007126528
BCL6,BCL6 (604),0.007122365
ZKSCAN5,ZKSCAN5 (23660),0.0071194046
ANKRD13D,ANKRD13D (338692),0.0071163885
PXMP2,PXMP2 (5827),0.0071161566
CA2,CA2 (760),0.0071158744
LRP5,LRP5 (4041),0.0071102483
SLTM,SLTM (79811),0.0071050473
DOCK6,DOCK6 (57572),0.007103715
XKR6,XKR6 (286046),0.007098254
NEMP2,NEMP2 (100131211),0.0070876726
AP3M1,AP3M1 (26985),0.0070823897
CFAP57,CFAP57 (149465),0.007082324
PPP1R21,PPP1R21 (129285),0.007080794
CASP2,CASP2 (835),0.0070780306
SRPK3,SRPK3 (26576),0.0070737014
APBB1,APBB1 (322),0.007073025
COL6A1,COL6A1 (1291),0.007072072
GAPVD1,GAPVD1 (26130),0.0070675244
IFNLR1,IFNLR1 (163702),0.007067372
YBX3,YBX3 (8531),0.007065052
RETSAT,RETSAT (54884),0.0070644636
H4C1,H4C1 (8359),0.007058678
RORA,RORA (6095),0.0070584663
HPS5,HPS5 (11234),0.00705366
CCS,CCS (9973),0.0070513394
CLDND2,CLDND2 (125875),0.0070479168
TMEM184B,TMEM184B (25829),0.00704247
SLC4A5,SLC4A5 (57835),0.007040407
ATG13,ATG13 (9776),0.00703757
ATP5F1A,ATP5F1A (498),0.0070331628
SPATA46,SPATA46 (284680),0.007029535
FBXW10B,FBXW10B (374286),0.007026679
HNRNPH3,HNRNPH3 (3189),0.007026371
MRPL36,MRPL36 (64979),0.007024971
BCAT2,BCAT2 (587),0.0070191664
ZC3HAV1,ZC3HAV1 (56829),0.007012576
HEATR6,HEATR6 (63897),0.007010475
NYX,NYX (60506),0.007009849
MIIP,MIIP (60672),0.0070077404
SAMD9L,SAMD9L (219285),0.007003879
GPR18,GPR18 (2841),0.007001932
CAVIN3,CAVIN3 (112464),0.006994756
STAT3,STAT3 (6774),0.0069933883
MRPL44,MRPL44 (65080),0.006992651
KCND3,KCND3 (3752),0.006986959
RNF25,RNF25 (64320),0.0069858674
CDKL2,CDKL2 (8999),0.0069856914
ZNF483,ZNF483 (158399),0.006985376
RBM28,RBM28 (55131),0.0069737686
TMCC1,TMCC1 (23023),0.0069639394
PLAC8,PLAC8 (51316),0.0069621415
KDM6A,KDM6A (7403),0.0069547943
TENT4B,TENT4B (64282),0.006945641
SLC9B2,SLC9B2 (133308),0.0069432873
MASP1,MASP1 (5648),0.0069379886
SIRPA,SIRPA (140885),0.0069329534
PSG5,PSG5 (5673),0.0069280397
PCLO,PCLO (27445),0.006926642
AADAT,AADAT (51166),0.0069191717
ABHD12,ABHD12 (26090),0.0069184117
FLT3LG,FLT3LG (2323),0.006918097
TSPAN31,TSPAN31 (6302),0.0069180545
EIF4E2,EIF4E2 (9470),0.0069132843
PRRC2A,PRRC2A (7916),0.006911152
AGBL4,AGBL4 (84871),0.00690998
KRTDAP,KRTDAP (388533),0.0069081658
GSTZ1,GSTZ1 (2954),0.0069039394
BTBD3,BTBD3 (22903),0.0069002635
GRWD1,GRWD1 (83743),0.006899868
C4orf17,C4orf17 (84103),0.0068969433
TRIM13,TRIM13 (10206),0.00689509
ATG5,ATG5 (9474),0.0068948166
KNTC1,KNTC1 (9735),0.0068899663
CCNDBP1,CCNDBP1 (23582),0.0068897936
VWA3B,VWA3B (200403),0.006884453
PDGFRB,PDGFRB (5159),0.0068809465
GCN1,GCN1 (10985),0.0068805143
EXOC3L4,EXOC3L4 (91828),0.0068775266
KIF27,KIF27 (55582),0.0068760198
SLC26A4,SLC26A4 (5172),0.0068701245
CST6,CST6 (1474),0.006869868
CLIP1,CLIP1 (6249),0.0068697995
DAZAP2,DAZAP2 (9802),0.0068653473
ELF2,ELF2 (1998),0.00686472
PHTF2,PHTF2 (57157),0.0068586683
BTG2,BTG2 (7832),0.0068556177
MCCD1,MCCD1 (401250),0.006855174
GJC3,GJC3 (349149),0.0068515856
ADRA1A,ADRA1A (148),0.0068445364
TRMO,TRMO (51531),0.0068408907
BCAP31,BCAP31 (10134),0.0068383445
ZNF320,ZNF320 (162967),0.006837276
DIS3L2,DIS3L2 (129563),0.006837059
NIPAL1,NIPAL1 (152519),0.006831474
LTBP3,LTBP3 (4054),0.006829199
MYLK2,MYLK2 (85366),0.006826855
MESD,MESD (23184),0.00682026
RPS6KL1,RPS6KL1 (83694),0.006819851
ZNF671,ZNF671 (79891),0.006817981
SIRT3,SIRT3 (23410),0.006817025
RAB21,RAB21 (23011),0.006814817
RBBP6,RBBP6 (5930),0.0068117916
TSC2,TSC2 (7249),0.006808385
MAPKAPK2,MAPKAPK2 (9261),0.006801837
ATP8B4,ATP8B4 (79895),0.006801486
DUOX1,DUOX1 (53905),0.006800624
BRSK1,BRSK1 (84446),0.0067998795
PAPLN,PAPLN (89932),0.0067988443
PYGM,PYGM (5837),0.0067986483
HHEX,HHEX (3087),0.0067938864
RAB11B,RAB11B (9230),0.006793002
BIVM,BIVM (54841),0.006789638
AHI1,AHI1 (54806),0.0067859646
RGL1,RGL1 (23179),0.0067819315
CLCNKA,CLCNKA (1187),0.006781562
ZNF32,ZNF32 (7580),0.006777116
PLGRKT,PLGRKT (55848),0.0067747068
GOLPH3L,GOLPH3L (55204),0.0067652483
RIPK4,RIPK4 (54101),0.0067650774
MBLAC1,MBLAC1 (255374),0.006762929
RFX2,RFX2 (5990),0.0067610424
PKHD1L1,PKHD1L1 (93035),0.0067574023
SMAD9,SMAD9 (4093),0.006756369
PDE2A,PDE2A (5138),0.0067544966
CNPPD1,CNPPD1 (27013),0.0067486945
KRT14,KRT14 (3861),0.006748568
KERA,KERA (11081),0.0067479177
MMP17,MMP17 (4326),0.006743724
SHF,SHF (90525),0.0067416346
C19orf25,C19orf25 (148223),0.006741441
ARL11,ARL11 (115761),0.006739666
OXA1L,OXA1L (5018),0.0067329304
AATK,AATK (9625),0.006731366
FNDC10,FNDC10 (643988),0.006730674
CENPV,CENPV (201161),0.006716839
PIK3CD,PIK3CD (5293),0.0067089396
PTPN22,PTPN22 (26191),0.006697742
COQ9,COQ9 (57017),0.0066956384
ZNF814,ZNF814 (730051),0.0066952775
CDC42BPG,CDC42BPG (55561),0.0066907518
KIF20B,KIF20B (9585),0.0066906717
LRRC4B,LRRC4B (94030),0.006686238
SLC18B1,SLC18B1 (116843),0.006686031
TDRD9,TDRD9 (122402),0.006679153
NUFIP2,NUFIP2 (57532),0.006671481
SEC61B,SEC61B (10952),0.006654251
PTPRO,PTPRO (5800),0.0066540632
ENAH,ENAH (55740),0.006652771
ANKZF1,ANKZF1 (55139),0.0066510513
USP50,USP50 (373509),0.006643251
TCTA,TCTA (6988),0.0066431244
EIF2AK4,EIF2AK4 (440275),0.0066424143
CCDC159,CCDC159 (126075),0.0066350205
MAN2C1,MAN2C1 (4123),0.006631975
EIF4EBP2,EIF4EBP2 (1979),0.0066313487
ARPC5,ARPC5 (10092),0.0066306805
TMEM201,TMEM201 (199953),0.0066250423
PLSCR1,PLSCR1 (5359),0.006618552
SMPDL3B,SMPDL3B (27293),0.0066183787
TAMALIN,TAMALIN (160622),0.0066124457
